INSTITUICAO_ENSINO_ALUNO_2020;NOME;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
Escola Pública;ALUNO-1007;11;1;2P;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10;8;8;4;8;8;10;2;P;Escola Pública;Veterano;Quartzo;4;0;2;8;1;7;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;Não;6;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;R;20220;Não;7;410;120;7;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;7;6;6;5;7;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;10;ALFA  (2º e 3º ano)
;ALUNO-1009;;;;;;;;;;;;;;;;;;0;S;Escola Pública;Ingressante;Ametista;7;7;10;8;6;2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7;10;ALFA  (2o e 3o ano);0;0;E;20210;Não;7;339;99;3;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;10;2;8;8;8;;2;6;Promovido de Fase;Promovido de Fase;;;Não;Não;8;5;Fase 1 (4º ano)
;ALUNO-101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;M;20220;Não;7;324;36;1;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7;8;6;7;6;5;8;4;8;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;7;10;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1010;9;1;1B;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;5;10;7;7;10;1;B;Escola Pública;Veterano;Ametista;7;8;10;8;5;8;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8;5;Nível 2 (5o e 6o ano);-1;2;B;20190;Não;7;409;60;6;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;8;8;4;2;7;;3;6;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;8;10;Fase 2 (5º e 6º ano)
;ALUNO-1011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;U;20220;Não;8;204;53;4;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;9;8;8;8;8;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;8;5;Fase 1 (4º ano)
Escola Pública;ALUNO-1012;8;0;1M;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;9;8;10;8;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1013;;;;;;;;;;;;;;;;;;2;M;Escola Pública;Ingressante;Ametista;7;9;8;8;6;8;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1014;10;1;1N;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;9;8;5;8;7;5;1;N;Escola Pública;Veterano;Ametista;8;9;8;8;6;8;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;9;5;Nível 2 (5o e 6o ano);-1;1;M;20190;Não;7;391;102;8;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7;7;8;9;9;8;;3;6;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;7;5;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1015;12;2;3R;Sim;8;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;7;8;7;8;9;10;3;J;Rede Decisão;Veterano;Topázio;8;10;9;8;7;8;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9;10;Nível 3 (7o e 8o ano);0;4;P;20180;Sim;9;18;1;1;Topázio;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;9;9;7;6;8;8;4;8;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Não;Sim;9;10;Fase 4 (9º ano)
Escola Pública;ALUNO-1016;12;1;2E;Não;7;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;10;8;6;8;7;5;2;H;Escola Pública;Veterano;Quartzo;5;9;1;8;1;8;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8;5;Nível 3 (7o e 8o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rede Decisão/União;ALUNO-1017;11;2;2J;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;9;8;8;7;8;10;3;J;Rede Decisão;Veterano;Ametista;8;9;7;8;6;8;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9;10;Nível 2 (5o e 6o ano);1;4;L;20180;Sim;8;153;14;4;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8;9;6;7;5;7;8;4;8;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Não;Não;8;10;Fase 2 (5º e 6º ano)
Escola Pública;ALUNO-1018;17;0;5L;Não;5;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;5;8;0;9;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1019;17;0;5A;Não;6;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6;6;8;4;8;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-102;9;0;1J;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;8;8;7;8;8;10;1;J;Escola Pública;Veterano;Ágata;7;6;8;8;5;8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8;5;Nível 2 (5o e 6o ano);-1;1;P;20200;Não;7;325;84;5;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7;9;8;8;7;8;;3;6;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;8;5;Fase 2 (5º e 6º ano)
FIAP;ALUNO-1020;18;3;8A;;6;D;Quartzo;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Ponto a melhorar em 2021: As suas notas na Faculdade.;;9;0;7;8;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1021;12;1;2M;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;8;7;4;7;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1022;8;0;0F;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10;10;8;9;8;8;10;1;F;Escola Pública;Veterano;Ametista;7;9;9;8;2;8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8;10;Nível 1 (4o ano);0;1;J;20200;Não;8;299;78;5;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;10;8;8;6;9;;3;6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7;5;Fase 2 (5º e 6º ano)
;ALUNO-1023;;;;;;;;;;;;;;;;;;0;O;Escola Pública;Ingressante;Ametista;8;9;10;8;6;8;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9;5;Nível 1 (4o ano);-1;0;G;20210;Não;7;545;155;7;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;7;8;5;5;6;;2;6;Promovido de Fase;Promovido de Fase;;;Não;Não;8;5;Fase 2 (5º e 6º ano)
Escola Pública;ALUNO-1024;17;0;5L;Não;4;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;2;3;0;8;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;G;20220;Não;8;118;33;1;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;9;6;9;9;9;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;10;ALFA  (2º e 3º ano)
;ALUNO-1026;;;;;;;;;;;;;;;;;;3;B;Escola Pública;Ingressante;Ametista;7;10;6;8;6;7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6;10;Nível 3 (7o e 8o ano);0;3;B;20210;Não;6;766;113;10;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;4;8;3;2;4;2;4;8;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;Não;7;5;Fase 4 (9º ano)
Rede Decisão/União;ALUNO-1027;15;4;5G;Sim;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;9;4;6;9;9;10;6;C;Rede Decisão;Veterano;Ágata;6;8;4;0;7;7;Mantido na Fase atual;Promovido de Fase;Não avaliado;Promovido de Fase;Não;5;10;Nível 6 (2o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1028;12;1;2C;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10;9;8;8;8;7;5;2;D;Escola Pública;Veterano;Ametista;7;8;5;8;7;8;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8;5;Nível 3 (7o e 8o ano);-1;3;B;20190;Não;7;509;64;8;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;7;4;7;5;8;8;4;8;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;6;10;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1029;10;1;1D;Sim;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10;9;8;9;8;9;5;2;P;Escola Pública;Veterano;Topázio;9;9;8;8;8;9;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Sim;10;10;Nível 2 (5o e 6o ano);0;3;A;20190;Sim;8;161;25;6;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;9;8;6;5;7;5;4;8;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Não;Não;8;10;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-103;8;0;0F;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;8;8;8;7;10;1;F;Escola Pública;Veterano;Ametista;8;10;9;6;6;8;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;9;10;Nível 1 (4o ano);0;1;F;20200;Não;7;454;116;4;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;9;6;6;6;6;;2;6;Mantido na Fase atual;Promovido de Fase;;;Não;Não;8;5;Fase 2 (5º e 6º ano)
;ALUNO-1030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;M;20220;Não;7;531;82;6;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;8;8;6;6;6;;3;6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7;5;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1031;8;0;0B;Sim;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;8;10;8;9;10;1;B;Escola Pública;Veterano;Topázio;9;10;10;8;8;8;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9;10;Nível 1 (4o ano);0;1;B;20200;Não;8;155;38;5;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;10;8;9;9;9;;3;6;Promovido de Fase;Promovido de Fase;Promovido de Fase;;Não;Não;8;5;Fase 2 (5º e 6º ano)
;ALUNO-1032;;;;;;;;;;;;;;;;;;1;R;Escola Pública;Ingressante;Ametista;7;10;8;8;5;8;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8;5;Nível 3 (7o e 8o ano);-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;H;20220;Não;8;74;20;1;Topázio;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;7;8;9;9;9;;2;6;Promovido de Fase;Mantido na Fase atual;;;Não;Não;8;10;ALFA  (2º e 3º ano)
Escola Pública;ALUNO-1034;11;1;2N;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;8;8;6;8;8;10;2;M;Escola Pública;Veterano;Ametista;8;8;9;8;6;8;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;Sim;9;5;Nível 3 (7o e 8o ano);-1;2;K;20190;Não;7;314;47;3;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;9;8;7;5;8;;3;6;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;;Não;Não;7;5;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1035;10;0;1C;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10;9;8;10;8;7;5;1;C;Escola Pública;Veterano;Ametista;8;10;8;7;6;9;Promovido de Fase;Mantido na Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;10;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1036;12;0;1E;Não;5;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;3;7;0;6;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
